Abstract,Title
"FACTORY PLANNING AND DESIGN IS A KEY BUILDING BLOCK FOR COINING THE STRATEGIC COMPETITIVENESS OF A MANUFACTURING COMPANY. NOVEL TRENDS IN INDUSTRYFOURTH SUCH AS MASS CUSTOMIZATION FOR INCREASINGLY DYNAMIC MARKETS, THE EMERGENCE OF THE INDUSTRIAL DIGITALTWIN, OR GROWING CONNECTIVITY AND CLOUD MANUFACTURING ARE LEADING TO CHANGING REQUIREMENTS FOR PLANNING AND DESIGNING FACTORIES. ESPECIALLY SMALL AND MEDIUM-SIZED ENTERPRISES (SMES) STRUGGLE WITH THESE NOVEL COMPLEXITY CHALLENGES. A NOVEL PROCESS MODEL FOR FACTORY PLANNING AND DESIGN IN INDUSTRYFOURTH IS PRESENTED. TO ENHANCE THE CURRENT STATE-OF-THE-ART FOR FACTORY PLANNING AND DESIGN FRAMEWORKS, THE MODEL ENABLES THE INTEGRATION OF THE INDUSTRIAL DIGITALTWIN I.E., THE ASSET ADMINISTRATION SHELL, INTO THE OVERALL FACTORY PLANNING AND DESIGN PROCESS. EVENTUALLY, THE PROCESS MODEL IS EXEMPLARILY APPLIED TO DESIGNING A CONTAINER FACTORY. BASED ON THIS CASE, ITS EFFICACY AS WELL AS ITS SUITABILITY FOR SMES IS VERIFIED. THUS, THE PROCESS MODEL CAN SUPPORT SMES IN REALIZING A HIGHER RETURN ON INVESTMENTS BY CREATING NOVEL DIGITAL AND DATA-DRIVEN BUSINESS MODELS BASED ON CONNECTED MANUFACTURING ASSETS. © 2022 IEEE.",A FACTORY PLANNING AND DESIGN FRAMEWORK FOR INTEGRATING THE DIGITALTWIN IN INDUSTRYFOURTH
"THE RECENT ADVENT OF NOVEL CONCEPTS AND TECHNOLOGIES, SUCH AS THE INTERNET OF THINGS (IOT), BIG DATA, AUGMENTED REALITY, CLOUD COMPUTING, AND ARTIFICIAL INTELLIGENCE IS TRANSFORMING INDUSTRY AND SOCIETY AS A WHOLE. TODAY, THE LARGE AMOUNT OF DATA GENERATED REQUIRES THE DESIGN AND DEVELOPMENT OF NEW SCHEMES FOR EXTRACTING VALUABLE INFORMATION. AT THE SAME TIME, THE COVID-19 EPIDEMIC IS POSING UNPRECEDENTED CHALLENGES FOR BUSINESSES, GOVERNMENTS AND COMPANIES AROUND THE WORLD. THIS ARTICLE REFERS TO A COMPANY IN SOUTHERN ITALY THAT HAS DECIDED TO REPURPOSE ITS PRODUCTION LINE TO MANUFACTURE SURGICAL MASKS. THE SITUATION IS COMPLETELY NEW FOR THE FIRM, WHICH DOES NOT HAVE HISTORICAL DATA. THEREFORE, THE AIM IS TO PROPOSE A FIWARE-BASED IOT ARCHITECTURE FOR SUPPORTING REAL-TIME DATA ACQUISITION AND ENABLING THE CREATION OF A DIGITALTWIN. PRELIMINARY RESULTS SHOW THAT THE PROPOSED SOLUTION EFFECTIVELY HELPS THE COMPANY IN STARTING THE NEW BUSINESS. FURTHERMORE, THE USE OF DIGITALTWIN-BASED REAL-TIME DASHBOARDS ENABLES CONTINUOUS AND AGILE IMPROVEMENT IN THE MANAGEMENT OF WAREHOUSE, PRODUCTION AND MAINTENANCE ACTIVITIES. © 2021, AIDI - ITALIAN ASSOCIATION OF INDUSTRIAL OPERATIONS PROFESSORS. ALL RIGHTS RESERVED.",A FIWAREBASED IOT PLATFORM FOR ENABLING DIGITALTWINS IN A GREENFIELD SMART FACTORY AN APPLICATION STUDY ON A REPURPOSED MANUFACTURING LINE
"A WORKFLOW FOR BUILDING A DIGITALTWIN WITH A 3D INTERFACE FOR VR AND DESKTOP OUTPUT WAS DEVELOPED BY FOCUSING ON THE INTERACTION WITH THE VIRTUAL MODEL, AN EASY DEPLOYMENT OF THE FRAMEWORK AND A STRAIGHTFORWARD REUSABILITY. THE CASE STUDY WAS CONCEIVED FOR SUPERCOMPUTING DATACENTERS, BUT ITS MAIN STRENGTH LIES IN FLEXIBILITY AND ADAPTABILITY. © 2021, IFIP INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING.",A FLEXIBLE AND ADAPTABLE WORKFLOW TO DEVELOP AND VISUALISE INDUSTRIAL DIGITALTWINS
"THIS WORK PROPOSES AN OPEN AND FLEXIBLE ENVIRONMENT FOR THE INTERACTION OF RELEVANT TECHNOLOGIES WITHIN THE FRAMEWORK OF INDUSTRYFOURTH. IN THIS WORK, A DISCRETE EVENT SIMULATION WAS DEVELOPED USING OPEN-SOURCE SOFTWARE, WHICH ENABLES SEAMLESS INTEGRATION WITH COMMUNICATION PROTOCOLS, OPTIMIZATION TOOLS, AND A GRAPHICAL USER INTERFACE THAT WORKS IN AUGMENTED REALITY. THE DISCRETE EVENT SIMULATION RUNS LOCALLY BUT CAN OBTAIN THE INPUT PARAMETERS THROUGH A REQUEST TO A WEB APP STORED IN THE CLOUD. THE PROPOSED ENVIRONMENT WAS TESTED THROUGH NUMERICAL EXPERIMENTS ADAPTED FROM A REAL MANUFACTURING PROCESS, WHICH WAS PARAMETRIZED AND GENERALIZED TO BE REPRESENTED IN THE DISCRETE EVENT SIMULATION. AMONG THE NUMERICAL EXPERIMENTS PRESENTED WERE A BASELINE SCENARIO AND 5 VARIATIONS. AN OPTIMIZATION IN THE PARAMETERS OF THE PROCESS IS PRESENTED WHICH DEMONSTRATED THE CAPACITY OF THE DEVELOPED DISCRETE EVENT SIMULATION TO BE INTEGRATED WITH EXTERNAL SOFTWARE. AN AUGMENTED REALITY APP WAS DEVELOPED AND INSTALLED IN A SMARTPHONE TO PROVIDE A GRAPHICAL INTERFACE WITH THE USER AND PROVIDE A SPATIAL REPRESENTATION OF THE MACHINE LINKED WITH THE STUDIED PROCESS. THIS WORK REPRESENTS A STEP TOWARDS THE CREATION OF A DIGITALTWIN OF A MANUFACTURING PROCESS AND THE IMPLEMENTATION OF A DIGITAL THREAD THAT TRANSPORT THE INFORMATION OF DIFFERENT PLATFORMS. © 2021, THE AUTHOR(S), UNDER EXCLUSIVE LICENCE TO SPRINGER-VERLAG FRANCE SAS, PART OF SPRINGER NATURE.",A FLEXIBLE AND OPEN ENVIRONMENT FOR DISCRETE EVENT SIMULATIONS AND SMARTMANUFACTURING
"FUTURE FACTORIES WILL FEATURE STRONG INTEGRATION OF PHYSICAL MACHINES AND CYBER-ENABLED SOFTWARE, WORKING SEAMLESSLY TO IMPROVE MANUFACTURING PRODUCTION EFFICIENCY. IN THESE DIGITALLY ENABLED AND NETWORK CONNECTED FACTORIES, EACH PHYSICAL MACHINE ON THE SHOP FLOOR CAN HAVE ITS ‘VIRTUAL TWIN’ AVAILABLE IN CYBERSPACE. THIS ‘VIRTUAL TWIN’ IS POPULATED WITH DATA STREAMING IN FROM THE PHYSICAL MACHINES TO REPRESENT A NEAR REAL-TIME AS-IS STATE OF THE MACHINE IN CYBERSPACE. THIS RESULTS IN THE VIRTUALIZATION OF A MACHINE RESOURCE TO EXTERNAL FACTORY MANUFACTURING SYSTEMS. THIS PAPER DESCRIBES HOW STREAMING DATA CAN BE STORED IN A SCALABLE AND FLEXIBLE DOCUMENT SCHEMA BASED DATABASE SUCH AS MONGODB, A DATA STORE THAT MAKES UP THE VIRTUAL TWIN SYSTEM. WE PRESENT AN ARCHITECTURE, WHICH ALLOWS THIRD-PARTY INTEGRATION OF SOFTWARE APPS TO INTERFACE WITH THE VIRTUAL MANUFACTURING MACHINES. WE EVALUATE OUR DATABASE SCHEMA AGAINST QUERY STATEMENTS AND PROVIDE EXAMPLES OF HOW THIRD-PARTY APPS CAN INTERFACE WITH MANUFACTURING MACHINES USING THE VMM MIDDLEWARE. FINALLY, WE DISCUSS AN OPERATING SYSTEM ARCHITECTURE FOR VMMS ACROSS THE MANUFACTURING CYBERSPACE, WHICH NECESSITATES COMMAND AND CONTROL OF VARIOUS VIRTUALIZED MANUFACTURING MACHINES, OPENING NEW POSSIBILITIES IN CYBER-PHYSICAL SYSTEMS IN MANUFACTURING. © 2017",A FLEXIBLE DATA SCHEMA AND SYSTEM ARCHITECTURE FOR THE VIRTUALIZATION OF MANUFACTURING MACHINES VMM
"WIND TURBINES ARE ONE OF THE SUSTAINABLE MEANS OF RENEWABLE ENERGY WHICH HAVE A LIFE SPAN OF MANY YEARS. DESPITE THEIR DURABILITY, THERE IS A NEED FOR MAINTENANCE TO PREVENT DOWNTIME. WITH INDUSTRYFOURTH, WIND TURBINES ARE USUALLY IMPLEMENTED WITH SMART TECHNOLOGIES THAT CONNECT THEM TO BASE STATIONS ENABLED WITH INFORMATION SYSTEMS FOR MANAGEMENT. THE IMPLEMENTATION ARCHITECTURE USUALLY ADOPTED FOR THIS IS CENTRALIZED AND DOES NOT FACTOR IN THE NEED FOR INTELLIGENCE AT THE EDGE OF THE NETWORK WHERE MINUTE DETAIL OF DEFECTS CAN BE OBSERVED IN REAL-TIME. THIS CENTRALIZED APPROACH ALSO INCREASES THE COST OF COMPUTATION AND LATENCY. OVERALL, THIS INDICATES A NEGATIVE EFFECT ON THE EFFICIENCY OF WIND TURBINE ASSET MANAGEMENT. THIS PAPER PROPOSES THE USE OF FOG COMPUTING ARCHITECTURE TO IMPLEMENT A SYSTEM OF MONITORING THE UNIT AND SYSTEM LEVEL OPERATIONS OF THE WIND TURBINE PLANT USING DIGITALTWINS. THE PROPOSED CONCEPT ATTEMPTS TO IMPROVE THE PERFORMANCE OF THE WIND TURBINES BY USING DECENTRALIZED INTELLIGENCE AT THE FOG NODES, WHERE SENSOR DATA IS PRE-PROCESSED BEFORE SENDING IT TO THE GLOBAL DIGITALTWIN IN THE CLOUD FOR DEEPER INSIGHTS. © 2022 IEEE.",A FOG COMPUTING BASED APPROACH TOWARDS IMPROVING ASSET MANAGEMENT AND PERFORMANCE OF WIND TURBINE PLANTS USING DIGITALTWINS
"THE PRODUCTION SECTOR IS EXPERIENCING SIGNIFICANT TRANSFORMATIONS DRIVEN BY COMPREHENSIVE DIGITALIZATION, INTERCONNECTION, AND FURTHER AUTOMATION ADVANCES. ONE SUB-SECTOR THAT CAN BENEFIT SIGNIFICANTLY FROM THESE TRENDS IS THE PRODUCTION OF ADVANCED THERAPY MEDICINAL PRODUCTS (ATMPS). ATMPS SHOW PROMISE FOR TREATING DIFFERENT SERIOUS CONDITIONS, BUT THEY ARE VERY EXPENSIVE-BEING PATIENT TAILORED PRODUCTS WHOSE PRODUCTION IS A HIGHLY MANUAL, MINIMALLY AUTOMATED PROCESS. IN A RECENT RESEARCH PROJECT WITH AN ATMP PRODUCER, WE INVESTIGATED HOW THE DEGREE OF AUTOMATION CAN BE INCREASED. IT BECAME APPARENT THAT IN PARALLEL TO INCREASING AUTOMATION ACROSS THE ACTUAL PRODUCTION STEPS, QUALITY ASSURANCE NEEDS TO BE ADDRESSED IN A SIMILAR WAY. THIS PAPER INTRODUCES A FRAMEWORK FOR AUTOMATING (PARTS OF) THE QUALITY ASSURANCE OF ATMPS USING TWO CONCEPTS: (A) DIGITAL SHADOWS OR TWINS AND (B) ASSURANCE CASES. WE DEMONSTRATE ITS CONCEPTUAL IMPLEMENTATION ALONG A CASE STUDY FOR CAR-T CELL PRODUCTS USED TO TREAT CERTAIN FORMS OF CANCER.",A FRAMEWORK FOR AUTOMATED QUALITY ASSURANCE AND DOCUMENTATION FOR PHARMA 40
"THE PRODUCTION SECTOR IS EXPERIENCING SIGNIFICANT TRANSFORMATIONS DRIVEN BY COMPREHENSIVE DIGITALIZATION, INTERCONNECTION, AND FURTHER AUTOMATION ADVANCES. ONE SUB-SECTOR THAT CAN BENEFIT SIGNIFICANTLY FROM THESE TRENDS IS THE PRODUCTION OF ADVANCED THERAPY MEDICINAL PRODUCTS (ATMPS). ATMPS SHOW PROMISE FOR TREATING DIFFERENT SERIOUS CONDITIONS, BUT THEY ARE VERY EXPENSIVE—BEING PATIENT TAILORED PRODUCTS WHOSE PRODUCTION IS A HIGHLY MANUAL, MINIMALLY AUTOMATED PROCESS. IN A RECENT RESEARCH PROJECT WITH AN ATMP PRODUCER, WE INVESTIGATED HOW THE DEGREE OF AUTOMATION CAN BE INCREASED. IT BECAME APPARENT THAT IN PARALLEL TO INCREASING AUTOMATION ACROSS THE ACTUAL PRODUCTION STEPS, QUALITY ASSURANCE NEEDS TO BE ADDRESSED IN A SIMILAR WAY. THIS PAPER INTRODUCES A FRAMEWORK FOR AUTOMATING (PARTS OF) THE QUALITY ASSURANCE OF ATMPS USING TWO CONCEPTS: (A) DIGITAL SHADOWS OR TWINS AND (B) ASSURANCE CASES. WE DEMONSTRATE ITS CONCEPTUAL IMPLEMENTATION ALONG A CASE STUDY FOR CAR-T CELL PRODUCTS USED TO TREAT CERTAIN FORMS OF CANCER. © 2021, SPRINGER NATURE SWITZERLAND AG.",A FRAMEWORK FOR AUTOMATED QUALITY ASSURANCE AND DOCUMENTATION FORPHARMA40
"WITH THE ONGOING INDUSTRYFOURTH (I4.0) REVOLUTION, PLANT MANAGEMENT AND SUPERVISION PLAY A KEY ROLE IN THE DEVELOPMENT AND (RE-)DESIGN OF INDUSTRIAL PLANTS. IN THE ARISING SCENARIOS, THE NEED TO COORDINATE HUMAN WORKERS AND AUTONOMOUS SYSTEMS, SHARING THE SAME ENVIRONMENT, TEAMING TOGETHER, BECOMES A FUNDAMENTAL REQUIREMENT. INDEED, EVEN THOUGH AUTOMATION IN STANDARD ASSEMBLY LINES HAS REACHED HIGH EFFICIENCY AND RELIABILITY, FOR COMPLEX AND NEW APPLICATIONS, A CERTAIN AMOUNT OF FAILURE MUST BE CONSIDERED FOR FUTURE ADDRESSING. THIS PAPER PRESENTS A FRAMEWORK FOR THE FLEXIBLE COORDINATION OF SUCH A COMPLEX AND HETEROGENEOUS CYBER-PHYSICAL SYSTEM. A DIGITAL TTWIN MIRRORS IN REAL-TIME THE PLANT SYSTEM, WHILE A DASHBOARD DISPLAYS PLANT STATUS, PROVIDING THE HUMAN OPERATORS WITH FUNDAMENTAL TOOLS FOR SUPERVISION AND PROMPT INTERVENTION IN CASE OF FAILURE. THE FRAMEWORK WAS DEVELOPED AND TESTED IN AN INDUSTRIALLY RELEVANT ENVIRONMENT, SPECIFICALLY FOR THE ASSEMBLY OF THE INTERIOR OF AN AIRCRAFT FUSELAGE. © 2021 INFORMA UK LIMITED, TRADING AS TAYLOR & FRANCIS GROUP.",A FRAMEWORK FOR CYBERPHYSICAL PRODUCTION SYSTEM MANAGEMENT AND DIGITALTWIN FEEDBACK MONITORING FOR FAST FAILURE RECOVERY
"ADOPTION OF DIGITALTWINS IN SMART FACTORIES, THAT MODEL REAL STATUSES OF MANUFACTURING SYSTEMS THROUGH SIMULATION WITH REAL TIME ACTUALIZATION, ARE MANIFESTED IN THE FORM OF INCREASED PRODUCTIVITY, AS WELL AS REDUCTION IN COSTS AND ENERGY CONSUMPTION. THE SHARP INCREASE IN CHANGING CUSTOMER DEMANDS HAS RESULTED IN FACTORIES TRANSITIONING RAPIDLY AND YIELDING SHORTER PRODUCT LIFE CYCLES. TRADITIONAL MODELING AND SIMULATION APPROACHES ARE NOT SUITED TO HANDLE SUCH SCENARIOS. AS A POSSIBLE SOLUTION, WE PROPOSE A GENERIC DATA-DRIVEN FRAMEWORK FOR AUTOMATED GENERATION OF SIMULATION MODELS AS BASIS FOR DIGITALTWINS FOR SMART FACTORIES. THE NOVELTY OF OUR PROPOSED FRAMEWORK IS IN THE DATA-DRIVEN APPROACH THAT EXPLOITS ADVANCEMENTS IN MACHINE LEARNING AND PROCESS MINING TECHNIQUES, AS WELL AS CONTINUOUS MODEL IMPROVEMENT AND VALIDATION. THE GOAL OF THE FRAMEWORK IS TO MINIMIZE AND FULLY DEFINE, OR EVEN ELIMINATE, THE NEED FOR EXPERT KNOWLEDGE IN THE EXTRACTION OF THE CORRESPONDING SIMULATION MODELS. WE ILLUSTRATE OUR FRAMEWORK THROUGH A CASE STUDY. © 2021 THE AUTHOR(S)",A FRAMEWORK FOR DATADRIVEN DIGITALTWINS FOR SMARTMANUFACTURING
"INDUSTRYFOURTH APPLICATIONS AIM TO IMPROVE INDUSTRIAL EFFICIENCY, PRODUCT CONSISTENCY, AND RELATED SUPPLY CHAINS BY PROVIDING SMART, DATA-DRIVEN SOLUTIONS THAT INVOLVE MACHINES, PROCESSES, WORKERS, AND PRODUCTS. THIS PAPER PROPOSES CYBER TWINS (CTS) FOR INDUSTRYFOURTH APPLICATION DEVELOPMENT AND A CT- BASED FRAMEWORK THAT REDUCES THE COST/EFFORT OF INDUSTRYFOURTH APPLICATION DEVELOPMENT BY PROVIDING: 1) A CT ONTOLOGY FOR DESCRIBING INDUSTRIAL MACHINES, INCLUDING THEIR SENSORS, ACTUATORS, SETTINGS AND AUTOMATION/CONTROL FUNCTIONS, 2) MACHINE EMULATION/SIMULATION FOR TESTING, AND 3) SERVICES FOR GENERATING CTS FROM THEIR SEMANTIC DESCRIPTIONS, CT-BASED COMMUNICATION WITH MACHINES, AND CT INTEGRATION ACROSS INDUSTRYFOURTH APPLICATIONS. WE PRESENT A PROOF-OF-CONCEPT CT FRAMEWORK IMPLEMENTATION AND INTRODUCE A COST MODEL TO COMPUTE THE COSTS OF CT-BASED INDUSTRYFOURTH APPLICATION DEVELOPMENT AND COMPARE THIS WITH THE COST OF APPLICATIONS THAT USE OTHER EXISTING DIGITALTWINS. VIA THESE, WE MEASURE THE BENEFITS OF CT-BASED APPLICATION DEVELOPMENT IN A REAL-WORLD USE CASE FROM THE MILK PROCESSING INDUSTRY. © 2021 IEEE.",A FRAMEWORK FOR ENABLING CYBERTWINS BASED INDUSTRYFOURTH APPLICATION DEVELOPMENT
"EMERGENT PARADIGMS OF INDUSTRY 4.0 AND INDUSTRIAL INTERNET OF THINGS EXPECT CYBER-PHYSICAL SYSTEMS TO RELIABLY PROVIDE SERVICES OVERCOMING DISRUPTIONS IN OPERATIVE CONDITIONS AND ADAPTING TO CHANGES IN ARCHITECTURAL AND FUNCTIONAL REQUIREMENTS. IN THIS PAPER, WE DESCRIBE A HARDWARE/SOFTWARE FRAMEWORK SUPPORTING OPERATION AND MAINTENANCE OF SOFTWARE-CONTROLLED SYSTEMS ENHANCING RESILIENCE BY PROMOTING A MODEL-DRIVEN ENGINEERING (MDE) PROCESS TO AUTOMATICALLY DERIVE STRUCTURAL CONFIGURATIONS AND FAILURE MODELS FROM RELIABILITY ARTIFACTS. SPECIFICALLY, A REFLECTIVE ARCHITECTURE DEVELOPED AROUND DIGITALTWINS ENABLES REPRESENTATION AND CONTROL OF SYSTEM CONFIGURATION ITEMS PROPERLY DERIVED FROM SYSML BLOCK DEFINITION DIAGRAMS, PROVIDING SUPPORT FOR VARIATION. BESIDES, A PLURALITY OF DISTRIBUTED ANALYTIC AGENTS FOR QUALITATIVE EVALUATION OVER EXECUTABLE FAILURE MODELS EMPOWERS THE SYSTEM WITH RUNTIME SELF-ASSESSMENT AND DYNAMIC ADAPTATION CAPABILITIES. WE DESCRIBE THE FRAMEWORK ARCHITECTURE OUTLINING ROLES AND RESPONSIBILITIES IN A SYSTEM OF SYSTEMS PERSPECTIVE, PROVIDING SALIENT DESIGN TRAITS ABOUT DIGITALTWINS AND DATA ANALYTIC AGENTS FOR FAILURE PROPAGATION MODELING AND ANALYSIS. WE DISCUSS A PROTOTYPE IMPLEMENTATION FOLLOWING THE MDE APPROACH, HIGHLIGHTING SELF-RECOVERY AND SELF-ADAPTATION PROPERTIES ON A REAL CYBER-PHYSICAL SYSTEM FOR VEHICLE ACCESS CONTROL TO LIMITED TRAFFIC ZONES. © 2020, THE AUTHOR(S).",A FRAMEWORK FOR MODELDRIVEN ENGINEERING OF RESILIENT SOFTWARECONTROLLED SYSTEMS
"THE BOOMING CUSTOMIZED AND PERSONALIZED DEMANDS CALL FOR NEW PRODUCTION PARADIGMS THAT COMPLIES WITH THAT CHANGE. THE UBIQUITOUS CONNECTION, DIGITIZATION AND SHARING IN THE CONTEXT OF INDUSTRYFOURTH PRESENT AN OPPORTUNITY FOR NEXT-GENERATION PRODUCTION PARADIGM-PERSONALIZED PRODUCTION, TO MEET THE BOOMING PERSONALIZED DEMANDS WITH INDIVIDUAL NEEDS AND PREFERENCES. PERSONALIZED PRODUCTION REFERS TO A CUSTOMER-CENTRIC PRODUCTION PARADIGM, WHERE INDIVIDUAL NEEDS AND PREFERENCES ARE TRANSFORMED INTO PERSONALIZED PRODUCTS AND SERVICES AT AN AFFORDABLE COST, BY MAXIMIZING THE BENEFIT OF CONNECTION AND SHARING THROUGHOUT THE PRODUCT LIFE-CYCLE. THIS PAPER REVIEWS AND IDENTIFIES THE EVOLUTION OF PRODUCTION PARADIGMS. A FRAMEWORK FOR PERSONALIZED PRODUCTION BASED ON DIGITALTWIN, BLOCKCHAIN AND ADDITIVE MANUFACTURING IN THE CONTEXT OF INDUSTRYFOURTH IS PROPOSED. BESIDES, THE IMPACT OF THE IMPLEMENTATION OF PERSONALIZED PRODUCTION IS DISCUSSED FROM THE ASPECTS OF CUSTOMER-CENTRIC BUSINESS MODEL, SOCIAL AND ENVIRONMENTAL EFFECTS AND CHALLENGES OF DATA OWNERSHIP. THIS PAPER PROVIDES HELPFUL GUIDANCE AND REFERENCE FOR PERSONALIZED PRODUCTION PARADIGM. © 2020 IEEE.",A FRAMEWORK FOR PERSONALIZED PRODUCTION BASED ON DIGITALTWIN BLOCKCHAIN AND ADDITIVE MANUFACTURING IN THE CONTEXT OF INDUSTRYFOURTH
"DIGITALTWIN IS A VITAL ENABLING TECHNOLOGY FOR SMARTMANUFACTURING IN THE ERA OF INDUSTRYFOURTH. DIGITALTWIN EFFECTIVELY REPLICATES ITS PHYSICAL ASSET ENABLING EASY VISUALIZATION, SMART DECISION-MAKING AND COGNITIVE CAPABILITY IN THE SYSTEM. IN THIS PAPER, A FRAMEWORK OF DYNAMIC DATA DRIVEN DIGITALTWIN FOR COMPLEX ENGINEERING PRODUCTS WAS PROPOSED. TO ILLUSTRATE THE PROPOSED FRAMEWORK, AN EXAMPLE OF HEALTH MANAGEMENT ON AIRCRAFT ENGINES WAS STUDIED. THIS FRAMEWORK MODELS THE DIGITALTWIN BY EXTRACTING INFORMATION FROM THE VARIOUS SENSORS AND INDUSTRY INTERNET OF THINGS (IIOT) MONITORING THE REMAINING USEFUL LIFE (RUL) OF AN ENGINE IN BOTH CYBER AND PHYSICAL DOMAINS. THEN, WITH SENSOR MEASUREMENTS SELECTED FROM LINEAR DEGRADATION MODELS, A LONG SHORT-TERM MEMORY (LSTM) NEURAL NETWORK IS PROPOSED TO DYNAMICALLY UPDATE THE DIGITALTWIN, WHICH CAN ESTIMATE THE MOST UP-TO-DATE RUL OF THE PHYSICAL AIRCRAFT ENGINE. THROUGH COMPARISON WITH OTHER MACHINE LEARNING ALGORITHMS, INCLUDING SIMILARITY BASED LINEAR REGRESSION AND FEED FORWARD NEURAL NETWORK, ON RUL MODELLING, THIS LSTM BASED DYNAMICAL DATA DRIVEN DIGITALTWIN PROVIDES A PROMISING TOOL TO ACCURATELY REPLICATE THE HEALTH STATUS OF AIRCRAFT ENGINES. THIS DIGITALTWIN BASED RUL TECHNIQUE CAN ALSO BE EXTENDED FOR HEALTH MANAGEMENT AND REMOTE OPERATION OF MANUFACTURING SYSTEMS. © 2021 THE AUTHORS. PUBLISHED BY ELSEVIER LTD.",A FRAMEWORK OF DYNAMIC DATA DRIVEN DIGITALTWIN FOR COMPLEX ENGINEERING PRODUCTS THE EXAMPLE OF AIRCRAFT ENGINE HEALTH MANAGEMENT
"ASSET ADMINISTRATION SHELL (AAS) IS THE CORE CONCEPT FOR MODELING AND DESIGNING MANUFACTURING COMPONENTS IN DIGITALTWINS APPLICATIONS. AAS DESCRIBES THE PROPERTIES OF ASSETS SUCH AS PRODUCTS, MACHINES, DEVICES AND FACTORIES, AND COMMUNICATES WITH OTHER AAS THROUGH THE NETWORK. THEREFORE, AAS ENHANCES THE INTEROPERABILITY AND COMMUNICATIONS AMONG DEVICE AND SOFTWARE COMPONENTS. TO FURTHER ADVANCE THE INTEROPERABILITY AND GENERALITY AMONG COMPONENTS OF A PRODUCTION LINE, THIS PAPER PROPOSES A GENERAL PLATFORM FOR DESIGNING A PRODUCTION LINE BASED ON AAS. THE PLATFORM ENABLES TO AUTOMATICALLY BUILD A PRODUCTION LINE SO THAT IT FLEXIBLY MEETS DIFFERENT NEEDS FOR VARIOUS SCENARIOS. © 2021 IEEE.",A GENERAL ASSET ADMINISTRATION SHELL PLATFORM FOR PRODUCTION LINE DESIGN
"A DIGITALTWIN IS A “LIVE” VIRTUAL REPLICA OF A SENSORISED COMPONENT, PRODUCT, PROCESS, HUMAN, OR SYSTEM. IT ACCURATELY COPIES THE ENTITY BEING MODELLED BY CAPTURING INFORMATION IN REAL TIME, OR NEAR REAL TIME, FROM THE ENTITY, THROUGH EMBEDDED SENSORS AND THE INTERNET-OF-THINGS. MANY APPLICATIONS OF DIGITALTWINS IN THE MANUFACTURING INDUSTRY HAVE BEEN INVESTIGATED. THIS ARTICLE FOCUSES ON, AND CONTRIBUTES TO, THE DEVELOPMENT OF PRODUCT DIGITALTWINS TO REDUCE THE IMPACT OF QUANTITY, QUALITY, AND DEMAND UNCERTAINTIES IN REMANUFACTURING. STARTING FROM ISSUES SPECIFIC TO REMANUFACTURING, THE ARTICLE DERIVES THE FUNCTIONAL REQUIREMENTS FOR A PRODUCT DIGITALTWIN FOR REMANUFACTURING AND PROPOSES A UNIFIED MODELLING LANGUAGE (UML) MODEL OF A GENERIC ASSET TO BE REMANUFACTURED. THE MODEL IS USED IN AN EXAMPLE WHICH HIGHLIGHTS THE NEED TO TRANSLATE EXISTING KNOWLEDGE AND DATA INTO AN INTEGRATED SYSTEM TO REALISE A PRODUCT DIGITALTWIN, CAPABLE OF SUPPORTING REMANUFACTURING PROCESS PLANNING. © 2022, THE AUTHOR(S).",A GENERIC ASSET MODEL FOR IMPLEMENTING PRODUCT DIGITALTWINS IN SMART REMANUFACTURING
"MANY STUDIES HAVE DISCUSSED THE DIFFERENT CHARACTERISTICS AND TECHNOLOGIES ASSOCIATED WITH SMARTMANUFACTURING SYSTEM (SMS), HOWEVER, LITTLE ATTENTION HAS BEEN DEVOTED TO STUDY A CONFIGURATION EVALUATION AND SELECTION CHALLENGES WHILE ESTABLISHING A NEW SMS THAT REQUIRES PRE-IMPLEMENTATION PLANNING AND ASSESSMENT. FEW INTERESTING FRAMEWORKS/MODELS HAVE BEEN RECENTLY PROPOSED BY LITERATURE TO TACKLE THESE CHALLENGES, BUT UNFORTUNATELY THESE STUDIES OVERLOOKED THE IMPORTANCE OF IDENTIFYING EVALUATION AND SELECTION CRITERIA TO COME OUT WITH COHERENT FRAMEWORK FOR MEASURING THE EFFECTIVENESS OF SMS CONFIGURATIONS PRIOR TO IMPLEMENTATION. TO FILL UP THE GAP, THIS STUDY AIMS TO FORMULATE AN EVALUATION AND SELECTION FRAMEWORK FOR OF SMS CONFIGURATIONS. TO DO SO, THIS PAPER REVIEWS EXISTING SMS CONFIGURATION ASSESSMENT FRAMEWORK, SIMULATION MODELS, AND EVALUATION AND SELECTION CRITERIA AND SUBSEQUENTLY IDENTIFIES THE FRAMEWORK PHASES AND THE MODEL OF EACH PHASE. FINALLY, A DIGITALTWIN-BASED SIMULATION MODEL IS INTRODUCED FOR FUTURE DEVELOPMENT. © 2019 THE AUTHORS.",A GENERIC EVALUATION FRAMEWORK OF SMARTMANUFACTURING SYSTEMS
